mnist classes = 2
size: 1000
(122,)
(878,)
       nu    gamma  precision    recall        f1
165  0.35   0.1000   0.870000  0.198178  0.322820
166  0.35   0.3000   0.870000  0.198178  0.322820
167  0.35   1.0000   0.870000  0.198178  0.322820
168  0.35   3.0000   0.870000  0.198178  0.322820
169  0.35  10.0000   0.870000  0.198178  0.322820
170  0.35  30.0000   0.870000  0.198178  0.322820
171  0.40   0.0003   0.870000  0.198178  0.322820
172  0.40   0.0010   0.870000  0.198178  0.322820
173  0.40   0.0030   0.870000  0.198178  0.322820
174  0.40   0.0100   0.870000  0.198178  0.322820
175  0.40   0.0300   0.870000  0.198178  0.322820
176  0.40   0.1000   0.870000  0.198178  0.322820
177  0.40   0.3000   0.870000  0.198178  0.322820
178  0.40   1.0000   0.870000  0.198178  0.322820
179  0.40   3.0000   0.870000  0.198178  0.322820
180  0.40  10.0000   0.870000  0.198178  0.322820
181  0.40  30.0000   0.870000  0.198178  0.322820
182  0.50   0.0003   0.870000  0.198178  0.322820
183  0.50   0.0010   0.870000  0.198178  0.322820
184  0.50   0.0030   0.870000  0.198178  0.322820
185  0.50   0.0100   0.870000  0.198178  0.322820
186  0.50   0.0300   0.870000  0.198178  0.322820
187  0.50   0.1000   0.870000  0.198178  0.322820
188  0.50   0.3000   0.870000  0.198178  0.322820
189  0.50   1.0000   0.870000  0.198178  0.322820
190  0.50   3.0000   0.870000  0.198178  0.322820
191  0.50  10.0000   0.870000  0.198178  0.322820
192  0.50  30.0000   0.870000  0.198178  0.322820
193  0.65   0.0003   0.870000  0.198178  0.322820
194  0.65   0.0010   0.870000  0.198178  0.322820
195  0.65   0.0030   0.870000  0.198178  0.322820
196  0.65   0.0100   0.870000  0.198178  0.322820
197  0.65   0.0300   0.870000  0.198178  0.322820
198  0.65   0.1000   0.870000  0.198178  0.322820
199  0.65   0.3000   0.870000  0.198178  0.322820
200  0.65   1.0000   0.870000  0.198178  0.322820
201  0.65   3.0000   0.870000  0.198178  0.322820
202  0.65  10.0000   0.870000  0.198178  0.322820
203  0.65  30.0000   0.870000  0.198178  0.322820
204  0.70   0.0001   0.870000  0.198178  0.322820
205  0.70   0.0003   0.870000  0.198178  0.322820
206  0.70   0.0010   0.870000  0.198178  0.322820
207  0.70   0.0030   0.870000  0.198178  0.322820
208  0.70   0.0100   0.870000  0.198178  0.322820
209  0.70   0.0300   0.870000  0.198178  0.322820
210  0.70   0.1000   0.870000  0.198178  0.322820
211  0.70   0.3000   0.870000  0.198178  0.322820
212  0.70   1.0000   0.870000  0.198178  0.322820
213  0.70   3.0000   0.870000  0.198178  0.322820
214  0.70  10.0000   0.870000  0.198178  0.322820
215  0.70  30.0000   0.870000  0.198178  0.322820
216  0.80   0.0003   0.870000  0.198178  0.322820
217  0.80   0.0010   0.870000  0.198178  0.322820
218  0.80   0.0030   0.870000  0.198178  0.322820
